Player,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,VORP,BPM,Team Wins,Overall Seed,All-Star
Nikola Jokić\jokicni01,DEN,74,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296,9.8,13.7,48,6,1
Giannis Antetokounmpo\antetgi01,MIL,67,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281,7.4,11.2,51,3,1
Joel Embiid\embiijo01,PHI,68,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12,0.252,6.5,9.2,51,4,1
Rudy Gobert\goberru01,UTA,66,32.1,15.6,14.7,1.1,0.7,2.1,0.713,0,0.69,11.7,0.264,3.6,4.6,49,5,1
Karl-Anthony Towns\townska01,MIN,74,33.5,24.6,9.8,3.6,1,1.1,0.529,0.41,0.822,10.3,0.199,4.4,5,46,7,1
Trae Young\youngtr01,ATL,76,34.9,28.4,3.7,9.7,0.9,0.1,0.46,0.382,0.904,10,0.181,4.8,5.2,43,9,1
Robert Williams\williro04,BOS,61,29.6,10,9.6,2,0.9,2.2,0.736,0,0.722,9.9,0.262,3.4,5.5,51,2,0
Jayson Tatum\tatumja01,BOS,76,35.9,26.9,8,4.4,1,0.6,0.453,0.353,0.853,9.6,0.169,4.8,4.9,51,2,1
Chris Paul\paulch01,PHO,65,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.21,4,5.4,64,1,1
Jimmy Butler\butleji01,MIA,57,33.9,21.4,5.9,5.5,1.6,0.5,0.48,0.233,0.87,9.2,0.228,4,6.3,53,1,1
Mikal Bridges\bridgmi01,PHO,82,34.8,14.2,4.2,2.3,1.2,0.4,0.534,0.369,0.834,8.9,0.15,2.6,1.6,64,1,0
DeMar DeRozan\derozde01,CHI,76,36.1,27.9,5.2,4.9,0.9,0.3,0.504,0.352,0.877,8.8,0.154,3.1,2.5,46,6,1
Jarrett Allen\allenja01,CLE,56,32.3,16.1,10.8,1.6,0.8,1.3,0.677,0.1,0.708,8.5,0.225,2.7,3.9,44,8,1
Mitchell Robinson\robinmi01,NYK,72,25.7,8.5,8.6,0.5,0.8,1.8,0.761,,0.486,8.5,0.221,2,2.2,37,11,0
Kevin Durant\duranke01,BRK,55,37.2,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,8.4,0.198,4.8,7.2,44,7,1
Clint Capela\capelca01,ATL,74,27.6,11.1,11.9,1.2,0.7,1.3,0.613,0,0.473,8.3,0.195,2.1,2,43,9,0
Dwight Powell\poweldw01,DAL,82,21.9,8.7,4.9,1.2,0.5,0.5,0.671,0.351,0.783,8.2,0.219,1.3,0.9,52,4,0
Pascal Siakam\siakapa01,TOR,68,37.9,22.8,8.5,5.3,1.3,0.6,0.494,0.344,0.749,8.1,0.151,3.6,3.5,48,5,0
Stephen Curry\curryst01,GSW,64,34.5,25.5,5.2,6.3,1.3,0.4,0.437,0.38,0.923,8,0.173,4.4,5.8,53,3,1
Al Horford\horfoal01,BOS,69,29.1,10.2,7.7,3.4,0.7,1.3,0.467,0.336,0.842,7.6,0.181,3.2,4.3,51,2,0
James Harden\hardeja01,TOT,65,37.2,22,7.7,10.3,1.3,0.6,0.41,0.33,0.877,7.6,0.152,3.7,4.1,51,4,0
Devin Booker\bookede01,PHO,68,34.5,26.8,5,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156,3.6,4.1,64,1,1
Luka Dončić\doncilu01,DAL,65,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159,5.9,8.2,52,4,1
Jalen Brunson\brunsja01,DAL,79,31.9,16.3,3.9,4.8,0.8,0,0.502,0.373,0.84,7.5,0.143,1.9,0.9,52,4,0
LeBron James\jamesle01,LAL,56,37.2,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,7.5,0.172,5.1,7.7,33,11,1
Montrezl Harrell\harremo01,TOT,71,23.1,13.1,6.1,2,0.4,0.6,0.645,0.235,0.716,7.3,0.213,2.4,3.9,43,10,0
Dejounte Murray\murrade01,SAS,68,34.8,21.1,8.3,9.2,2,0.3,0.462,0.327,0.794,7.3,0.149,4.4,5.4,34,10,0
Tyrese Maxey\maxeyty01,PHI,75,35.3,17.5,3.2,4.3,0.7,0.4,0.485,0.427,0.866,7.3,0.132,1.8,0.6,51,4,0
Deandre Ayton\aytonde01,PHO,58,29.5,17.2,10.2,1.4,0.7,0.7,0.634,0.368,0.746,7.3,0.203,2.1,2.8,64,1,0
Jonas Valančiūnas\valanjo01,NOP,74,30.3,17.8,11.4,2.6,0.6,0.8,0.544,0.361,0.82,7.3,0.156,2.2,1.9,36,9,0
Ivica Zubac\zubaciv01,LAC,76,24.4,10.3,8.5,1.6,0.5,1,0.626,,0.727,7.2,0.187,1.3,0.7,42,8,0
Bam Adebayo\adebaba01,MIA,56,32.6,19.1,10.1,3.4,1.4,0.8,0.557,0,0.753,7.2,0.188,2.7,3.8,53,1,0
Desmond Bane\banede01,MEM,76,29.8,18.2,4.4,2.7,1.2,0.4,0.461,0.436,0.903,7.2,0.153,2.7,2.7,56,2,0
Donovan Mitchell\mitchdo01,UTA,67,33.8,25.9,4.2,5.3,1.5,0.2,0.448,0.355,0.853,7.2,0.152,3.6,4.3,49,5,1
Miles Bridges\bridgmi02,CHO,80,35.5,20.2,7,3.8,0.9,0.8,0.491,0.331,0.802,7.2,0.123,2.5,1.5,43,10,0
Domantas Sabonis\sabondo01,SAC,62,34.5,18.9,12.1,5.2,1,0.4,0.573,0.312,0.741,7.1,0.159,3.2,4.1,30,12,0
Tyrese Haliburton\halibty01,IND,77,35,15.3,4,8.2,1.7,0.6,0.473,0.414,0.842,7,0.125,3.1,2.6,23,13,0
Jrue Holiday\holidjr01,MIL,67,32.9,18.3,4.5,6.8,1.6,0.4,0.501,0.411,0.761,6.9,0.15,2.9,3.2,51,3,0
Jakob Poeltl\poeltja01,SAS,68,29,13.5,9.3,2.8,0.7,1.7,0.618,1,0.495,6.9,0.168,1.7,1.6,34,10,0
Steven Adams\adamsst01,MEM,76,26.3,6.9,10,3.4,0.9,0.8,0.547,0,0.543,6.8,0.163,2,2,56,2,0
Kevon Looney\looneke01,GSW,82,21.1,6,7.3,2,0.6,0.6,0.571,0,0.6,6.8,0.187,1.3,0.9,53,3,0
Fred VanVleet\vanvlfr01,TOR,65,37.9,20.3,4.4,6.7,1.7,0.5,0.403,0.377,0.874,6.7,0.131,3.5,3.6,48,5,1
Ja Morant\moranja01,MEM,57,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171,3.9,6.1,56,2,1
Mike Conley\conlemi01,UTA,72,28.6,13.7,3,5.3,1.3,0.3,0.435,0.408,0.796,6.7,0.157,2.7,3.1,49,5,0
Dorian Finney-Smith\finnedo01,DAL,80,33.1,11,4.7,1.9,1.1,0.5,0.471,0.395,0.675,6.6,0.121,1.9,0.8,52,4,0
Scottie Barnes\barnesc01,TOR,74,35.4,15.3,7.5,3.5,1.1,0.7,0.492,0.301,0.735,6.6,0.122,1.9,0.9,48,5,0
Kyle Lowry\lowryky01,MIA,63,33.9,13.4,4.5,7.5,1.1,0.3,0.44,0.377,0.851,6.4,0.143,2.1,1.9,53,1,0
Darius Garland\garlada01,CLE,68,35.7,21.7,3.3,8.6,1.3,0.1,0.462,0.383,0.892,6.3,0.125,2.8,2.6,44,8,1
Brandon Clarke\clarkbr01,MEM,64,19.5,10.4,5.3,1.3,0.6,1.1,0.644,0.227,0.654,6.3,0.241,2,4.2,56,2,0
Alec Burks\burksal01,NYK,81,28.6,11.7,4.9,3,1,0.3,0.391,0.404,0.822,6.1,0.126,1.7,0.8,37,11,0
Harrison Barnes\barneha02,SAC,77,33.6,16.4,5.6,2.4,0.7,0.2,0.469,0.394,0.826,6,0.112,1.4,0.2,30,12,0
Daniel Gafford\gaffoda01,WAS,72,20.1,9.4,5.7,0.9,0.4,1.4,0.693,0,0.699,6,0.198,1.3,1.6,35,12,0
Chris Boucher\bouchch01,TOR,80,21.1,9.4,6.2,0.3,0.6,0.9,0.464,0.297,0.777,6,0.169,0.9,0,48,5,0
Jordan Poole\poolejo01,GSW,76,30,18.5,3.4,4,0.8,0.3,0.448,0.364,0.925,6,0.126,1.7,1,53,3,0
Jarred Vanderbilt\vandeja01,MIN,74,25.4,6.9,8.4,1.3,1.3,0.6,0.587,0.143,0.656,6,0.153,1.1,0.2,46,7,0
Terry Rozier\roziete01,CHO,73,33.7,19.3,4.3,4.5,1.3,0.3,0.444,0.374,0.852,5.9,0.115,2.3,1.7,43,10,0
LaMelo Ball\ballla01,CHO,75,32.3,20.1,6.7,7.6,1.6,0.4,0.429,0.389,0.872,5.8,0.116,3.3,3.4,43,10,1
Hassan Whiteside\whiteha01,UTA,65,17.9,8.2,7.6,0.4,0.3,1.6,0.652,,0.623,5.8,0.238,1.2,2.1,49,5,0
Jaylen Brown\brownja02,BOS,66,33.6,23.6,6.1,3.5,1.1,0.3,0.473,0.358,0.758,5.8,0.124,2.2,2.1,51,2,0
Zach LaVine\lavinza01,CHI,67,34.7,24.4,4.6,4.5,0.6,0.3,0.476,0.389,0.853,5.8,0.12,2.6,2.4,46,6,1
Kevin Love\loveke01,CLE,74,22.5,13.6,7.2,2.2,0.4,0.2,0.43,0.392,0.838,5.7,0.164,2.7,4.5,44,8,0
Domantas Sabonis\sabondo01,IND,47,34.7,18.9,12.1,5,1,0.5,0.58,0.324,0.74,5.7,0.168,2.7,4.6,25,13,0
